url,emails,phones,facebook,instagram,linkedin
https://bradycorp.com,,,,,
https://customerxsuccess.com,,260067382323,,,
https://okanagan.bc.ca,,"000222900976, 40119991224, 150129183141",,,
https://qube-learning.co.uk,,"6737022, 940120009, 01680169, 6737024, 6737020, 7675280168, 2161357557449737, 1629908614, 6737021, 6737025, 6737000, 6737001, 01020103, 1658394447, 01280129, 273046200058069, 04900491, 01235833838, 01520153, 2023030711, 01100111, 1017438672, 6737023, 578307",https://www.facebook.com/QubeTrainingProvider/,,
https://zuora.com,,,,,
